destination,forecast_date,daily_avg_temp_c,daily_min_temp_c,daily_max_temp_c,daily_avg_humidity_pct,daily_avg_cloudiness_pct,daily_avg_wind_speed_mps,daily_max_wind_speed_mps,most_common_description
"Cusco, Peru",2026-07-01,6.724999999999999,4.41,9.79,75.33333333333333,31.333333333333332,1.2383333333333333,2.61,clear sky
"Barcelona, Spain",2026-06-26,29.955,28.89,31.02,47.0,1.5,2.615,3.58,clear sky
"Barcelona, Spain",2026-06-27,27.09375,22.88,29.44,54.75,6.125,2.85125,4.44,clear sky
"Barcelona, Spain",2026-06-28,27.47625,23.35,29.68,53.625,0.5,3.295,4.7,clear sky
"Barcelona, Spain",2026-06-29,28.51625,26.52,30.54,52.25,27.5,2.6399999999999997,5.35,clear sky
"Barcelona, Spain",2026-06-30,27.9,26.95,28.98,58.0,56.25,2.19125,3.92,overcast clouds
"Barcelona, Spain",2026-07-01,27.453333333333333,26.95,27.9,55.333333333333336,14.833333333333334,2.8466666666666662,4.14,clear sky
"Lisbon, Portugal",2026-06-26,22.59,21.5,23.68,65.0,58.0,4.109999999999999,4.6,broken clouds
"Lisbon, Portugal",2026-06-27,21.57375,18.37,25.43,67.75,18.875,3.29375,5.36,clear sky
"Lisbon, Portugal",2026-06-28,22.36375,18.01,28.53,65.625,3.125,4.47875,8.06,clear sky
"Lisbon, Portugal",2026-06-29,22.2875,18.09,27.95,66.5,3.125,4.54375,7.52,clear sky
"Lisbon, Portugal",2026-06-30,24.55375,18.41,32.49,59.375,20.75,3.3225,6.78,clear sky
"Lisbon, Portugal",2026-07-01,24.416666666666668,18.71,32.46,57.666666666666664,51.5,2.7900000000000005,4.74,clear sky
"Tokyo, Japan",2026-06-26,21.915,21.73,22.39,93.0,100.0,3.245,5.39,light rain
"Tokyo, Japan",2026-06-27,23.34625,22.82,24.29,86.5,94.875,3.67875,6.84,moderate rain
"Tokyo, Japan",2026-06-28,21.771250000000002,21.07,23.15,85.5,97.75,3.29125,6.47,light rain
"Tokyo, Japan",2026-06-29,23.85125,21.78,26.95,69.75,69.875,3.14375,4.55,overcast clouds
"Tokyo, Japan",2026-06-30,25.064999999999998,22.95,28.31,65.25,90.5,3.82375,6.01,overcast clouds
"Tokyo, Japan",2026-07-01,23.241666666666664,23.01,23.44,76.5,100.0,2.83,4.24,light rain
"Kathmandu, Nepal",2026-06-26,23.1,22.83,23.37,73.5,37.5,1.71,2.27,light rain
"Kathmandu, Nepal",2026-06-27,24.5625,21.17,29.2,69.5,56.375,1.19875,2.3,light rain
"Kathmandu, Nepal",2026-06-28,23.4875,20.61,28.12,79.375,60.375,1.315,2.31,light rain
"Kathmandu, Nepal",2026-06-29,23.66125,21.05,27.98,80.75,76.875,1.5499999999999998,2.29,light rain
"Kathmandu, Nepal",2026-06-30,22.0675,20.82,24.53,91.125,99.5,0.83125,1.7,light rain
"Kathmandu, Nepal",2026-07-01,22.435,20.93,24.43,88.33333333333333,99.66666666666667,0.965,1.56,light rain
